id,dateTime,answer,selectedTarget,correct,responseTime,targetAmount,answerId,targetId,colors
1,2024/11/6 10:59,yellow,yellow,1,2448,8,7,7,red-purple|blue|pink|blue-green|purple|gray|red|yellow
2,2024/11/6 10:59,yellow-red,no,1,2475,8,-1,-1,blue|green|pink|gray|blue-green|yellow|red|purple-blue
3,2024/11/6 10:59,red-purple,pink,0,2458,8,-1,1,gray|pink|yellow|blue-green|yellow-green|purple|purple-blue|blue
4,2024/11/6 11:00,blue,no,1,1777,8,-1,-1,yellow-red|purple-blue|gray|red-purple|red|pink|green|blue-green
5,2024/11/6 11:00,pink,no,1,2043,8,-1,-1,yellow-red|gray|purple-blue|blue-green|green|yellow-green|blue|red
6,2024/11/6 11:00,green,green,1,1984,8,3,3,blue|yellow-red|red|green|red-purple|gray|pink|purple-blue
7,2024/11/6 11:00,gray,no,1,1510,8,-1,-1,yellow-red|red-purple|purple-blue|green|yellow|blue-green|yellow-green|purple
8,2024/11/6 11:00,purple-blue,purple-blue,1,1418,8,6,6,blue|yellow-red|yellow-green|purple|yellow|gray|purple-blue|red-purple
9,2024/11/6 11:00,blue,blue,1,2153,8,0,0,blue|red|blue-green|green|gray|pink|yellow-green|purple-blue
10,2024/11/6 11:00,yellow-red,no,1,3996,8,-1,-1,red|red-purple|purple|blue|pink|green|gray|yellow-green
11,2024/11/6 11:00,purple-blue,purple-blue,1,1804,8,4,4,blue|red-purple|green|yellow-green|purple-blue|pink|gray|red
12,2024/11/6 11:01,red,no,1,2048,8,-1,-1,yellow-green|purple|yellow|blue-green|gray|green|pink|purple-blue
13,2024/11/6 11:01,gray,gray,1,1678,8,2,2,red-purple|yellow-green|gray|blue-green|purple|red|green|yellow-red
14,2024/11/6 11:01,gray,gray,1,1987,8,2,2,red|purple|gray|yellow-green|pink|yellow|yellow-red|blue
15,2024/11/6 11:01,yellow-red,no,1,1785,8,-1,-1,blue|blue-green|red-purple|yellow|pink|purple-blue|green|yellow-green
16,2024/11/6 11:01,red,no,1,2255,8,-1,-1,blue|gray|blue-green|purple-blue|green|purple|red-purple|yellow-green
17,2024/11/6 11:01,blue,blue,1,1513,8,0,0,blue|pink|purple-blue|purple|red-purple|yellow-red|yellow-green|gray
18,2024/11/6 11:01,red-purple,red-purple,1,1722,8,6,6,blue-green|purple|gray|yellow|yellow-green|pink|red-purple|yellow-red
19,2024/11/6 11:01,blue-green,blue-green,1,1697,8,7,7,yellow|purple|purple-blue|yellow-red|red-purple|blue|gray|blue-green
20,2024/11/6 11:02,purple,no,1,3436,8,-1,-1,red|red-purple|yellow-red|pink|green|yellow-green|blue|gray
21,2024/11/6 11:02,pink,pink,1,1847,6,1,1,purple-blue|pink|blue|yellow-green|blue-green|yellow
22,2024/11/6 11:02,blue-green,blue-green,1,1853,6,5,5,yellow-red|yellow-green|gray|yellow|green|blue-green
23,2024/11/6 11:02,blue-green,no,1,1825,6,-1,-1,green|red-purple|gray|yellow-green|red|yellow
24,2024/11/6 11:02,purple,no,1,2402,6,-1,-1,yellow-red|yellow|gray|yellow-green|blue|pink
25,2024/11/6 11:02,green,green,1,2062,6,1,1,red-purple|green|purple|purple-blue|blue|blue-green
26,2024/11/6 11:02,yellow-red,no,1,1722,6,-1,-1,gray|blue-green|pink|purple|yellow-green|red
27,2024/11/6 11:02,purple-blue,purple-blue,1,1598,6,5,5,blue|green|pink|gray|yellow|purple-blue
28,2024/11/6 11:03,red,no,1,1571,6,-1,-1,purple-blue|yellow-green|gray|yellow-red|green|blue
29,2024/11/6 11:03,blue-green,green,0,3244,6,-1,5,gray|yellow-green|purple|blue|yellow|green
30,2024/11/6 11:03,red-purple,red-purple,1,1989,6,2,2,blue|blue-green|red-purple|purple-blue|green|purple
31,2024/11/6 11:03,purple-blue,no,1,2486,6,-1,-1,pink|purple|yellow|yellow-red|blue-green|yellow-green
32,2024/11/6 11:03,gray,gray,1,2022,6,2,2,yellow|purple-blue|gray|blue|red-purple|yellow-green
33,2024/11/6 11:03,purple,purple,1,1511,6,1,1,green|purple|yellow-green|blue|red-purple|gray
34,2024/11/6 11:03,purple,purple,1,1412,6,3,3,yellow|gray|pink|purple|green|yellow-red
35,2024/11/6 11:04,purple,no,1,1746,6,-1,-1,purple-blue|blue-green|yellow|blue|red-purple|green
36,2024/11/6 11:04,green,no,1,3044,6,-1,-1,yellow-green|blue-green|blue|purple-blue|purple|yellow
37,2024/11/6 11:04,red-purple,no,1,1812,6,-1,-1,red|green|blue-green|yellow|gray|yellow-green
38,2024/11/6 11:04,purple-blue,no,1,1662,6,-1,-1,blue-green|pink|blue|yellow-red|green|yellow-green
39,2024/11/6 11:04,purple,no,1,1909,6,-1,-1,purple-blue|yellow|red-purple|red|yellow-green|gray
40,2024/11/6 11:04,yellow-red,yellow-red,1,1554,6,0,0,yellow-red|red|gray|green|purple|red-purple
41,2024/11/6 11:14,yellow-green,no,1,2448,8,-1,-1,blue-green|red-purple|green|blue|purple-blue|purple|yellow-red|gray
42,2024/11/6 11:14,yellow-red,yellow-red,1,1288,8,0,0,yellow-red|purple-blue|pink|yellow-green|green|gray|purple|red-purple
43,2024/11/6 11:14,purple,no,1,2996,8,-1,-1,yellow-red|pink|red-purple|red|gray|blue|purple-blue|yellow-green
44,2024/11/6 11:14,yellow-red,yellow-red,1,1370,8,1,1,blue|yellow-red|red-purple|yellow|red|blue-green|purple|yellow-green
45,2024/11/6 11:15,gray,no,1,1527,8,-1,-1,pink|yellow|blue|red|yellow-red|green|purple-blue|blue-green
46,2024/11/6 11:15,blue,no,0,2835,8,1,-1,yellow-green|blue|red|yellow|gray|purple|green|purple-blue
47,2024/11/6 11:15,gray,no,1,2023,8,-1,-1,purple|red|yellow-green|yellow|purple-blue|blue-green|green|blue
48,2024/11/6 11:15,yellow,yellow,1,1857,8,3,3,purple-blue|green|red-purple|yellow|gray|pink|blue-green|yellow-red
49,2024/11/6 11:15,gray,no,1,1701,8,-1,-1,yellow-green|yellow-red|green|red|blue|red-purple|purple-blue|yellow
50,2024/11/6 11:15,gray,gray,1,1366,8,7,7,yellow-red|red|blue-green|red-purple|purple|blue|pink|gray
51,2024/11/6 11:15,green,green,1,2371,8,2,2,blue-green|purple|green|yellow-green|purple-blue|blue|yellow-red|pink
52,2024/11/6 11:15,purple-blue,purple-blue,1,2506,8,4,4,gray|purple|blue|yellow|purple-blue|pink|blue-green|green
